"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8785","Compare_Screen_Test","","2025-10-19","passed","2025-10-19","","com.example.topsedblackboxtests.ScreenBlackBoxTest","com.example.topsedblackboxtests.ScreenBlackBoxTest","Compare_Screen_Test"
"","31186","HomeScreen_Buttons_Test_Negative","","2025-10-19","passed","2025-10-19","","com.example.topsedblackboxtests.ScreenBlackBoxTest","com.example.topsedblackboxtests.ScreenBlackBoxTest","HomeScreen_Buttons_Test_Negative"
"","30017","HomeScreen_Buttons_Test_Main","","2025-10-19","passed","2025-10-19","","com.example.topsedblackboxtests.ScreenBlackBoxTest","com.example.topsedblackboxtests.ScreenBlackBoxTest","HomeScreen_Buttons_Test_Main"
"","3024","Start_Screen_Test","","2025-10-19","passed","2025-10-19","","com.example.topsedblackboxtests.ScreenBlackBoxTest","com.example.topsedblackboxtests.ScreenBlackBoxTest","Start_Screen_Test"
"","13155","MyDrivesScreen_ViewAll_Delete_Rename_Drive_Test","","2025-10-19","passed","2025-10-19","","com.example.topsedblackboxtests.ScreenBlackBoxTest","com.example.topsedblackboxtests.ScreenBlackBoxTest","MyDrivesScreen_ViewAll_Delete_Rename_Drive_Test"
"","4628","MyDrives_Screen_Test_Base","","2025-10-19","passed","2025-10-19","","com.example.topsedblackboxtests.ScreenBlackBoxTest","com.example.topsedblackboxtests.ScreenBlackBoxTest","MyDrives_Screen_Test_Base"
